# {"t_start": 1568601467.3127506, "env_id": "HalfCheetah-v2"} 
r,l,t
-783.430215,1000,4.31996
-737.914842,1000,8.09959
-617.965856,1000,11.989583
-593.477421,1000,16.021474
-650.867844,1000,19.834655
-835.311142,1000,23.576189
-611.477939,1000,27.546532
-664.103749,1000,31.483387
-663.334629,1000,35.319626
-605.238543,1000,39.077123
-436.045767,1000,42.991464
-592.463409,1000,46.941508
-563.531202,1000,50.740118
-522.983804,1000,54.616841
-638.139107,1000,58.659129
-610.112997,1000,62.691138
-606.392006,1000,66.470138
-617.776172,1000,70.211672
-570.011398,1000,74.022382
-318.403622,1000,77.8323
-490.534362,1000,81.541903
-615.641632,1000,85.437385
-661.329282,1000,89.331011
-598.996024,1000,93.11339
-609.752512,1000,96.921388
-622.174002,1000,100.746412
-624.573662,1000,104.618275
-613.573802,1000,108.644285
-654.395798,1000,112.555034
-609.109044,1000,116.326637
-554.5862,1000,120.16872
-618.700026,1000,124.138093
-467.933576,1000,128.044331
-695.308912,1000,131.803309
-659.326355,1000,135.651732
-781.917657,1000,139.621438
-639.609152,1000,143.615001
-713.015569,1000,147.533608
-743.7635,1000,151.4312
-658.862163,1000,155.301736
-317.131235,1000,159.324572
-676.039838,1000,163.27524
-765.249842,1000,167.195502
-675.120546,1000,171.002915
-634.922127,1000,174.727087
-622.856158,1000,178.431782
-716.286305,1000,182.275957
-485.595297,1000,186.047322
-618.657865,1000,189.901621
-494.231343,1000,193.859279
-608.56312,1000,197.782423
-741.357251,1000,201.681771
-700.023617,1000,205.605235
-703.092515,1000,209.407238
